"Column 0","ShipMethodID","ShipToAddressID","TerritoryID"
"43698","1","24593","7"
"43738","1","26167","7"
"43750","1","26694","7"
"43751","1","17421","7"
"43780","1","25850","7"
"43785","1","17236","7"
"43786","1","23683","7"
"43796","1","11860","7"
"43802","1","15981","7"
"43807","1","15499","7"
"43813","1","16896","7"
"43834","1","15471","7"
"43840","1","25544","7"
"43919","1","27575","7"
"43924","1","29716","7"
"44030","1","24044","7"
"44039","1","12447","7"
"44045","1","21007","7"
"44069","1","29244","7"
"44140","1","27557","7"
"44168","1","28328","7"
"44176","1","16650","7"
"44201","1","18205","7"
"44226","1","22001","7"
"44227","1","12314","7"
"44231","1","24984","7"
"44239","1","25028","7"
"44246","1","13202","7"
"44257","1","12582","7"
"44272","1","23027","7"
"44322","1","24477","7"
"44324","1","13133","7"
"44440","1","12276","7"
"44447","1","26417","7"
"44591","1","13885","7"
"44597","1","18049","7"
"44623","1","25701","7"
"44643","1","22960","7"
"44644","1","23617","7"
"44652","1","20926","7"
"44680","1","25786","7"
"44681","1","25791","7"
"44691","1","29391","7"
"44703","1","12214","7"
"44729","1","18422","7"
"44734","1","26377","7"
"44803","1","23961","7"
"44816","1","14022","7"
"44826","1","26817","7"
"44848","1","21145","7"
"44849","1","13262","7"
"44874","1","17498","7"
"44901","1","14126","7"
"44929","1","21514","7"
"44935","1","17146","7"
"44948","1","25485","7"
"44987","1","23513","7"
"44988","1","28762","7"
"45006","1","23544","7"
"45078","1","27000","7"
"45096","1","19106","7"
"45126","1","19692","7"
"45139","1","18194","7"
"45140","1","28080","7"
"45158","1","15245","7"
"45172","1","18790","7"
"45205","1","25516","7"
"45206","1","16446","7"
"45214","1","24588","7"
"45234","1","18800","7"
"45351","1","13348","7"
"45357","1","11832","7"
"45366","1","28396","7"
"45372","1","21671","7"
"45380","1","16272","7"
"45414","1","21183","7"
"45433","1","29413","7"
"45453","1","13671","7"
"45482","1","27961","7"
"45508","1","23902","7"
"45511","1","15539","7"
"45586","1","29182","7"
"45602","1","20936","7"
"45615","1","14913","7"
"45618","1","21287","7"
